ident,lat,lon,label,type
K00A,40.0710,-74.9337,Bensalem,heliport
00AA,38.7040,-101.4739,Leoti,small_airport
00AK,59.9477,-151.6925,Anchor Point,small_airport
00AL,34.8648,-86.7703,Harvest,small_airport
00AN,59.0933,-156.4567,King Salmon,small_airport
00AS,34.9428,-97.8180,Alex,small_airport
00AZ,34.3056,-112.1650,Cordes,small_airport
00CA,35.3547,-116.8853,Barstow,small_airport
00CL,39.4272,-121.7634,Biggs,small_airport
00CN,32.7274,-116.4597,Pine Valley,heliport
00FA,28.6455,-82.2190,Bushnell,small_airport
00FL,27.2309,-80.9692,Okeechobee,small_airport
00GA,33.7675,-84.0683,Lithonia,small_airport
00GE,33.8880,-84.7370,Hiram,heliport
00HI,19.8329,-155.9783,Kailua-Kona,heliport
00ID,48.1453,-116.2140,Clark Fork,small_airport
00IG,39.7240,-101.3960,McDonald,small_airport
00IL,41.9784,-89.5604,Polo,small_airport
00IN,41.5114,-87.2606,Hobart,heliport
00IS,40.0256,-89.1229,Kings,small_airport
00KS,38.7278,-94.9305,Gardner,small_airport
00KY,37.4094,-84.6197,Stanford,small_airport
00LA,30.1919,-90.9808,Gonzales,heliport
00LL,39.6653,-89.7056,Chatham,heliport
00LS,30.1363,-92.4294,Crowley,small_airport
00MD,38.7571,-75.7538,Federalsburg,small_airport
00MI,43.9494,-86.4167,Ludington,heliport
00MN,46.3000,-95.7003,Battle Lake,small_airport
00MO,37.2028,-94.4124,Alba,small_airport
00MT,45.6750,-110.5251,Livingston,heliport
K00N,39.4730,-75.1843,Bridgeton,small_airport
00NC,36.0852,-78.3714,Louisburg,small_airport
00NJ,40.5209,-74.4746,New Brunswick,heliport
00NK,44.8119,-73.3698,Beekmantown,seaplane_base
00NR,35.5947,-75.4700,Rodanthe,heliport
00NY,42.8958,-77.4953,West Bloomfield,small_airport
00OI,39.7451,-84.1873,Dayton,heliport
00OK,36.1986,-96.2177,Sandsprings,small_airport
00OR,44.9329,-123.1300,Salem,heliport
00PA,39.9489,-75.7469,Coatesville,heliport
00PN,41.2995,-80.2111,Mercer,small_airport
K00S,44.1815,-122.0860,Blue River,small_airport
00SC,34.0094,-80.2672,Sumter,small_airport
00SD,44.8092,-96.4989,Gary,small_airport
00TE,32.8476,-97.1895,Fort Worth,heliport
00TS,32.6076,-97.2420,Everman,small_airport
00TT,34.5166,-99.9369,Goodlett,small_airport
00VA,36.5750,-78.9984,Alton,small_airport
00VI,36.6633,-80.4995,Hillsville,small_airport
K00W,46.6729,-117.4419,Colfax,small_airport
00WA,47.1784,-122.7720,Longbranch,small_airport
00WI,44.3043,-89.0501,Waupaca,small_airport
00WN,46.2500,-117.2490,Asotin,small_airport
00WV,38.8289,-79.8661,Beverly,small_airport
00WY,42.8404,-106.2244,Casper,heliport
00XA,30.2240,-96.0142,Weeski Ranch Airport,small_airport
K01A,62.9408,-152.2697,Purkeypile,small_airport
01AK,60.1059,-149.4462,Seward,heliport
01AL,32.9460,-86.5139,Clanton,small_airport
01AN,61.6491,-149.3390,Wasilla,small_airport
01AR,34.0475,-94.3540,DeQueen,heliport
01AZ,34.6074,-111.8609,Camp Verde,heliport
01CA,34.3682,-117.3701,Hesperia,heliport
01CL,38.7999,-120.7340,Placerville,small_airport
01CO,39.2453,-106.2460,Leadville,heliport
01CT,41.6273,-72.7275,Berlin,heliport
01FA,28.5894,-81.1442,Orlando,small_airport
01FD,28.6666,-81.3697,Altamonte Springs,heliport
01FL,28.7819,-81.1592,Geneva,small_airport
01GA,32.4793,-84.9791,Columbus,heliport
01GE,32.6751,-82.7711,Wrightsville,small_airport
01ID,42.6082,-112.0320,Lava Hot Springs,small_airport
01II,39.8850,-86.5067,Lizton,small_airport
01IL,40.4586,-87.6595,Hoopeston,heliport
01IN,40.1309,-85.6958,Anderson,heliport
01IS,39.0162,-90.3182,Dow,small_airport
K01J,30.6856,-81.9063,Hilliard,small_airport
K01K,37.0361,-97.5853,Caldwell,small_airport
01KS,38.5406,-97.0033,Lost Springs,small_airport
01KY,37.0517,-88.6469,Paducah,heliport
01LA,32.6390,-91.7737,Oak Ridge,small_airport
01LL,38.1258,-89.4639,Pinckneyville,small_airport
01LS,30.7225,-91.0774,Slaughter,small_airport
01MA,42.6251,-71.1801,Andover,heliport
01MD,38.9992,-76.4560,Annapolis,seaplane_base
01ME,46.7789,-68.5003,Portage Lake,seaplane_base
01MI,43.0495,-83.6797,Flint,heliport
01MN,47.8996,-92.5574,Cook,seaplane_base
01MO,38.6417,-90.4843,Town and Country,heliport
01MT,48.7891,-114.8800,Fortine,small_airport
01MU,32.1967,-110.7751,Tucson,heliport
01NC,34.4753,-77.5814,Holly Ridge,small_airport
01NH,43.6445,-72.0870,Canaan,small_airport
01NJ,40.7400,-74.1361,Newark,heliport
01NM,33.0086,-104.5403,Lake Arthur,small_airport
01NR,34.1963,-77.9199,Wilmington,heliport
01NV,38.7639,-119.0270,Yerington,small_airport
01NY,41.6924,-73.9368,Poughkeepsie,heliport
01OH,39.4975,-84.3139,Middletown,heliport
01OI,40.7303,-82.8020,Galion,heliport
01OL,34.3917,-96.6908,Tishomingo,small_airport
01PN,40.9306,-77.7389,Bellefonte,small_airport
01PS,41.5959,-76.0296,Meshoppen,small_airport
01SC,35.0321,-81.2528,York,small_airport
01TE,32.7376,-96.4280,Forney,small_airport
01TN,34.9959,-89.7306,Collierville,small_airport
01TT,29.0121,-95.4021,Clute,heliport
K01U,38.8498,-115.6350,Duckwater,small_airport
01UT,38.3083,-109.3960,La Sal,small_airport
01VA,39.1250,-77.9250,Berryville,small_airport
01WA,46.6632,-123.8120,South Bend,heliport
01WN,48.2134,-122.6850,Coupeville,heliport
01WT,47.5182,-122.2109,Renton,heliport
01WY,44.3483,-104.8106,Pine Haven,small_airport
01XA,30.0072,-97.8533,Kyle,heliport
01XS,32.0202,-95.7455,Athens,heliport
02AA,61.5061,-149.9128,Big Lake,small_airport
02AK,61.8769,-150.0976,Willow,small_airport
02AL,30.3715,-87.7644,Foley,small_airport
02AN,59.7042,-151.2959,Homer,small_airport
02CA,33.5825,-118.1290,Huntington Beach,heliport
02CD,34.1296,-90.5240,Clarksdale,small_airport
02CL,34.7611,-119.0590,Frazier Park,small_airport
02CO,37.6433,-106.0470,Monte Vista,small_airport
02CT,41.9196,-72.4445,Ellington,heliport
02FA,28.5267,-81.8748,Groveland,small_airport
02FD,30.9510,-86.6356,Baker,small_airport
02GA,34.2026,-83.4290,Commerce,small_airport
02GE,34.1753,-84.9244,Euharlee,small_airport
02HI,21.3584,-157.9479,Honolulu,heliport
02IA,42.0561,-93.8780,Boone,heliport
02ID,44.5555,-115.3050,Cascade,small_airport
02II,40.0623,-86.2105,Westfield,small_airport
02IN,40.2089,-85.5408,Muncie,small_airport
02IS,42.2746,-87.9573,Libertyville,heliport
